0,1,2,3,4,5,6
,"Arief Khairul Huda, S.Pd.,M.Pd.,Gr.",,,,"Ria Yusiati, S.Pd.Gr",
,,,,,,
,,,,,,
JADWAL PELAJARAN KELAS II SITI MUNJIAH,,,,,,
SD MUHAMMADIYAH 49,,,,,,
TAHUN PELAJARAN 2026-2027,,,,,,
,,,,,,
,,,,,,
Jam Ke,Waktu,Senin,Selasa,Rabu,Kamis,Jum'at
,07.00-07.30,Upacara Bendera,Pembiasaan Pagi,Pembiasaan Pagi,Senam ,Pembiasaan Pagi
1,07.30-08.05,,Bahasa Indonesia,Hizbul Wathan,Bahasa Indonesia,PJOK
2,08.05-08.40,Pend. Pancasila,Bahasa Indonesia,Hizbul Wathan,Bahasa Indonesia,PJOK
,08.40-09.10,I  S  T  I  R  A  H  A  T,,,,
3,09.10-09.40,Pend. Pancasila,Matematika,Matematika,Matematika,Seni Budaya
4,09.40-10.15,Tapak Suci,Matematika,Matematika,Matematika,Seni Budaya
5,10.15-10.50,Tapak Suci,Pend. Pancasila,Pend. Pancasila,Pend. Pancasila,Al Islam
6,10.50-11.25,Bahasa Inggris,Tahfizd,Seni Budaya,Tahsin,Al Islam
7,11.25-12.00,Bahasa Inggris,Tahfizd,Seni Budaya,Tahsin,-
,12.00-12.50,I  S  H  O  M  A,,,,
8,12.50-13.25,Praktek Shalat,PLBJ,Bahasa Indonesia,Seni Budaya,-
9,13.25-14.00,Praktek Shalat,PLBJ,Bahasa Indonesia,Seni Budaya,-
,,,,,,
"Pembiasaan Pagi : Sholat Dhuha, Tilawah Dan Literasi",,,,,,
,,,,,,
,,,,,,
,Kepala Sekolah,,,,Guru Kelas,
,,,,,,
,,,,,,
,,,,,, 
,"Arief Khairul Huda, S.Pd.,M.Pd.,Gr.",,,,Didin Rosidin,
,,,,,,
,,,,,,
JADWAL PELAJARAN KELAS III BUYA HAMKA,,,,,,
SD MUHAMMADIYAH 49,,,,,,
TAHUN PELAJARAN 2026-2027,,,,,,
,,,,,,
,,,,,,
Jam Ke,Waktu,Senin,Selasa,Rabu,Kamis,Jum'at
,07.00-07.30,Upacara Bendera,Pembiasaan Pagi,Pembiasaan Pagi,Senam ,Pembiasaan Pagi
1,07.30-08.05,,Tapak Suci,Matematika,Tahfizd,Pend. Pancasila
2,08.05-08.40,Bahasa Indonesia,Tapak Suci,Matematika,Tahfizd,Pend. Pancasila
,08.40-09.10,I  S  T  I  R  A  H  A  T,,,,
3,09.10-09.40,Bahasa Indonesia,Matematika,Seni Budaya,Matematika,Al Islam
4,09.40-10.15,Tahsin,Matematika,Hizbul Wathan,Matematika,Al Islam
5,10.15-10.50,Tahsin,IPAS,Hizbul Wathan,Pend. Pancasila,Bahasa Inggris
6,10.50-11.25,IPAS,IPAS,Kemuhammadiyahan,Praktek Shalat,Bahasa Inggris
7,11.25-12.00,IPAS,IPAS,Kemuhammadiyahan,Praktek Shalat,-
,12.00-12.50,I  S  H  O  M  A,,,,
8,12.50-13.25,PJOK,Seni Budaya,Bahasa Indonesia,Pend. Pancasila,Bahasa Arab
9,13.25-14.00,PJOK,Seni Budaya,Bahasa Indonesia,PLBJ,Bahasa Arab
10,14.00-14.35,IPAS,Seni Budaya,Bahasa Indonesia,PLBJ,-
,,,,,,
"Pembiasaan Pagi : Sholat Dhuha, Tilawah Dan Literasi",,,,,,
,,,,,,
,Kepala Sekolah,,,,Guru Kelas,
,,,,,,
,,,,,,
,,,,,, 
,"Arief Khairul Huda, S.Pd.,M.Pd.,Gr.",,,,"Najwa Apriliani Azahra, S.Pd",
,,,,,,
,,,,,,
JADWAL PELAJARAN KELAS III SYAFI'I MAARIF,,,,,,
SD MUHAMMADIYAH 49,,,,,,
TAHUN PELAJARAN 2026-2027,,,,,,
,,,,,,
,,,,,,
Jam Ke,Waktu,Senin,Selasa,Rabu,Kamis,Jum'at
,07.00-07.30,Upacara Bendera,Pembiasaan Pagi,Pembiasaan Pagi,Senam ,Pembiasaan Pagi
1,07.30-08.05,,Tapak Suci,Bahasa Indonesia,IPAS,Tahsin
2,08.05-08.40,Pend. Pancasila,Tapak Suci,Bahasa Indonesia,IPAS,Tahsin
,08.40-09.10,I  S  T  I  R  A  H  A  T,,,,
3,09.10-09.40,Pend. Pancasila,Kemuhammadiyahan,Seni Budaya,IPAS,Matematika
4,09.40-10.15,Bahasa Indonesia,Kemuhammadiyahan,Hizbul Wathan,Matematika,Matematika
5,10.15-10.50,Bahasa Indonesia,Matematika,Hizbul Wathan,Matematika,PLBJ
6,10.50-11.25,Tahfizd,Matematika,Al Islam,Praktek Shalat,PLBJ
7,11.25-12.00,Tahfizd,Pend. Pancasila,Al Islam,Praktek Shalat,-
,12.00-12.50,I  S  H  O  M  A,,,,
8,12.50-13.25,PJOK,Pend. Pancasila,IPAS,Seni Budaya,Bahasa Inggris
9,13.25-14.00,PJOK,Bahasa Arab,IPAS,Seni Budaya,Bahasa Inggris
10,14.00-14.35,Bahasa Indonesia,Bahasa Arab,IPAS,Seni Budaya,-
,,,,,,
"Pembiasaan Pagi : Sholat Dhuha, Tilawah Dan Literasi",,,,,,
,,,,,,
,Kepala Sekolah,,,,Guru Kelas,
,,,,,,
,,,,,,
,,,,,, 
,"Arief Khairul Huda, S.Pd.,M.Pd.,Gr.",,,,"Sri Muzdalifah, S.Ag.Gr",
